Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Play-In,Win Play-In,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Washington Capitols,WSC,BAA,1947,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,2,4,Chicago Stags,No,NA,NA,NA,NA
Philadelphia Warriors,PHW,BAA,1947,Eastern,2,NA,NA,No,No,2,1,St. Louis Bombers,Yes,NA,NA,NA,NA,2,0,New York Knicks,Yes,4,1,Chicago Stags,Yes
New York Knicks,NYK,BAA,1947,Eastern,3,NA,NA,No,No,2,1,Cleveland Rebels,Yes,NA,NA,NA,NA,0,2,Philadelphia Warriors,No,NA,NA,NA,NA
Providence Steamrollers,PRO,BAA,1947,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,BAA,1947,Eastern,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Huskies,TRH,BAA,1947,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Stags,CHS,BAA,1947,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,2,Washington Capitols,Yes,1,4,Philadelphia Warriors,No
St. Louis Bombers,STB,BAA,1947,Western,2,NA,NA,No,No,1,2,Philadelphia Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rebels,CLR,BAA,1947,Western,3,NA,NA,No,No,1,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Falcons,DTF,BAA,1947,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Ironmen,PIT,BAA,1947,Western,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,BAA,1948,Eastern,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,4,3,St. Louis Bombers,Yes,2,4,Baltimore Bullets,No
New York Knicks,NYK,BAA,1948,Eastern,2,NA,NA,No,No,1,2,Baltimore Bullets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,BAA,1948,Eastern,3,NA,NA,No,No,1,2,Chicago Stags,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence Steamrollers,PRO,BAA,1948,Eastern,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Louis Bombers,STB,BAA,1948,Western,1,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,3,4,Philadelphia Warriors,No,NA,NA,NA,NA
Baltimore Bullets,BLB,BAA,1948,Western,2,NA,NA,No,No,2,1,New York Knicks,Yes,NA,NA,NA,NA,2,0,Chicago Stags,Yes,4,2,Philadelphia Warriors,Yes
Chicago Stags,CHS,BAA,1948,Western,3,NA,NA,No,No,2,1,Boston Celtics,Yes,NA,NA,NA,NA,0,2,Baltimore Bullets,No,NA,NA,NA,NA
Washington Capitols,WSC,BAA,1948,Western,4,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Capitols,WSC,BAA,1949,Eastern,1,NA,NA,No,No,2,0,Philadelphia Warriors,Yes,NA,NA,NA,NA,2,1,New York Knicks,Yes,2,4,Minneapolis Lakers,No
New York Knicks,NYK,BAA,1949,Eastern,2,NA,NA,No,No,2,1,Baltimore Bullets,Yes,NA,NA,NA,NA,1,2,Washington Capitols,No,NA,NA,NA,NA
Baltimore Bullets,BLB,BAA,1949,Eastern,3,NA,NA,No,No,1,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Warriors,PHW,BAA,1949,Eastern,4,NA,NA,No,No,0,2,Washington Capitols,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,BAA,1949,Eastern,5,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence Steamrollers,PRO,BAA,1949,Eastern,6,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Royals,ROC,BAA,1949,Western,1,NA,NA,No,No,2,0,St. Louis Bombers,Yes,NA,NA,NA,NA,0,2,Minneapolis Lakers,No,NA,NA,NA,NA
