Franchise ID,Team,Team Name,League,From,To
1,ATL,Atlanta Hawks,NBA,1969,NA
1,STL,St. Louis Hawks,NBA,1956,1968
1,MLH,Milwaukee Hawks,NBA,1952,1955
1,TRI,Tri-Cities Blackhawks,NBA,1950,1951
2,BOS,Boston Celtics,NBA,1950,NA
2,BOS,Boston Celtics,BAA,1947,1949
3,BRK,Brooklyn Nets,NBA,2013,NA
3,NJN,New Jersey Nets,NBA,1978,2012
3,NYN,New York Nets,NBA,1977,1977
4,CHO,Charlotte Hornets,NBA,2015,NA
4,CHA,Charlotte Bobcats,NBA,2005,2014
4,CHH,Charlotte Hornets,NBA,1989,2002
5,CHI,Chicago Bulls,NBA,1967,NA
6,CLE,Cleveland Cavaliers,NBA,1971,NA
7,DAL,Dallas Mavericks,NBA,1981,NA
8,DEN,Denver Nuggets,NBA,1977,NA
9,DET,Detroit Pistons,NBA,1958,NA
9,FTW,Fort Wayne Pistons,NBA,1950,1957
9,FTW,Fort Wayne Pistons,BAA,1949,1949
10,GSW,Golden State Warriors,NBA,1972,NA
10,SFW,San Francisco Warriors,NBA,1963,1971
10,PHW,Philadelphia Warriors,NBA,1950,1962
10,PHW,Philadelphia Warriors,BAA,1947,1949
11,HOU,Houston Rockets,NBA,1972,NA
11,SDR,San Diego Rockets,NBA,1968,1971
12,IND,Indiana Pacers,NBA,1977,NA
13,LAC,Los Angeles Clippers,NBA,1985,NA
13,SDC,San Diego Clippers,NBA,1979,1984
13,BUF,Buffalo Braves,NBA,1971,1978
14,LAL,Los Angeles Lakers,NBA,1961,NA
14,MNL,Minneapolis Lakers,NBA,1950,1960
14,MNL,Minneapolis Lakers,BAA,1949,1949
15,MEM,Memphis Grizzlies,NBA,2002,NA
15,VAN,Vancouver Grizzlies,NBA,1996,2001
16,MIA,Miami Heat,NBA,1989,NA
17,MIL,Milwaukee Bucks,NBA,1969,NA
18,MIN,Minnesota Timberwolves,NBA,1990,NA
19,NOP,New Orleans Pelicans,NBA,2014,NA
19,NOH,New Orleans Hornets,NBA,2003,2013
19,NOK,New Orleans/Oklahoma City Hornets,NBA,2006,2007
20,NYK,New York Knicks,NBA,1950,NA
20,NYK,New York Knicks,BAA,1947,1949
21,OKC,Oklahoma City Thunder,NBA,2009,NA
21,SEA,Seattle SuperSonics,NBA,1968,2008
22,ORL,Orlando Magic,NBA,1990,NA
23,PHI,Philadelphia 76ers,NBA,1964,NA
23,SYR,Syracuse Nationals,NBA,1950,1963
24,PHO,Phoenix Suns,NBA,1969,NA
25,POR,Portland Trail Blazers,NBA,1971,NA
26,SAC,Sacramento Kings,NBA,1986,NA
26,KCK,Kansas City Kings,NBA,1976,1985
26,KCO,Kansas City-Omaha Kings,NBA,1973,1975
26,CIN,Cincinnati Royals,NBA,1958,1972
26,ROC,Rochester Royals,NBA,1950,1957
26,ROC,Rochester Royals,BAA,1949,1949
27,SAS,San Antonio Spurs,NBA,1977,NA
28,TOR,Toronto Raptors,NBA,1996,NA
29,UTA,Utah Jazz,NBA,1980,NA
29,NOJ,New Orleans Jazz,NBA,1975,1979
30,WAS,Washington Wizards,NBA,1998,NA
30,WSB,Washington Bullets,NBA,1975,1997
30,CAP,Capital Bullets,NBA,1974,1974
30,BAL,Baltimore Bullets,NBA,1964,1973
30,CHZ,Chicago Zephyrs,NBA,1963,1963
30,CHP,Chicago Packers,NBA,1962,1962
31,AND,Anderson Packers,NBA,1950,1950
32,BLB,Baltimore Bullets,NBA,1950,1955
32,BLB,Baltimore Bullets,BAA,1948,1949
33,CHS,Chicago Stags,NBA,1950,1950
33,CHS,Chicago Stags,BAA,1947,1949
34,CLR,Cleveland Rebels,BAA,1947,1947
35,DNN,Denver Nuggets,NBA,1950,1950
36,DTF,Detroit Falcons,BAA,1947,1947
37,INJ,Indianapolis Jets,BAA,1949,1949
38,INO,Indianapolis Olympians,NBA,1950,1953
42,PIT,Pittsburgh Ironmen,BAA,1947,1947
43,PRO,Providence Steamrollers,BAA,1947,1949
45,SHE,Sheboygan Red Skins,NBA,1950,1950
47,STB,St. Louis Bombers,NBA,1950,1950
47,STB,St. Louis Bombers,BAA,1947,1949
49,TRH,Toronto Huskies,BAA,1947,1947
52,WSC,Washington Capitols,NBA,1950,1951
52,WSC,Washington Capitols,BAA,1947,1949
53,WAT,Waterloo Hawks,NBA,1950,1950
